epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,177.906,1.248,0.90625,1.27471,0.72652,0.7282,0.72701,0.38907,1.64207,1.25825,1.59064,0.000990365,0.000990365,0.000990365
43,191.477,1.22256,0.88949,1.23374,0.73034,0.72864,0.74942,0.38085,1.6779,1.21591,1.61784,0.000973861,0.000973861,0.000973861
44,203.883,1.1908,0.82871,1.21794,0.70619,0.76142,0.75704,0.39566,1.7106,1.22262,1.63779,0.000957358,0.000957358,0.000957358
45,215.872,1.16886,0.81667,1.19447,0.75677,0.74228,0.78925,0.39628,1.71025,1.20622,1.62138,0.000940855,0.000940855,0.000940855
46,228,1.1445,0.78216,1.19523,0.77241,0.74112,0.77155,0.41412,1.64728,1.22757,1.56082,0.000924352,0.000924352,0.000924352
47,240.093,1.15054,0.79754,1.19794,0.65624,0.73604,0.69986,0.36149,1.68511,1.27471,1.58544,0.000907848,0.000907848,0.000907848
48,252.08,1.1567,0.82583,1.19878,0.76267,0.71774,0.72143,0.3653,1.74061,1.20534,1.61968,0.000891345,0.000891345,0.000891345
49,264.026,1.1319,0.78224,1.17426,0.75668,0.69543,0.74598,0.39837,1.66451,1.20448,1.54336,0.000874842,0.000874842,0.000874842
50,276.268,1.15602,0.79668,1.18822,0.77206,0.75635,0.78143,0.39756,1.58829,1.12851,1.53782,0.000858338,0.000858338,0.000858338
51,288.627,1.19225,0.79614,1.2061,0.72251,0.74619,0.75901,0.40028,1.59356,1.17458,1.54767,0.000841835,0.000841835,0.000841835
52,300.882,1.14117,0.78468,1.18211,0.74018,0.75635,0.76056,0.40361,1.64186,1.13138,1.5832,0.000825332,0.000825332,0.000825332
53,312.536,1.12469,0.7653,1.16892,0.72915,0.77893,0.74735,0.39251,1.72263,1.15469,1.59822,0.000808828,0.000808828,0.000808828
54,324.288,1.08911,0.73018,1.15208,0.66771,0.80203,0.74144,0.38947,1.72999,1.14917,1.62804,0.000792325,0.000792325,0.000792325
55,336.163,1.08337,0.74162,1.1467,0.76868,0.65785,0.71276,0.37033,1.72047,1.17464,1.63025,0.000775822,0.000775822,0.000775822
56,348.313,1.07507,0.7269,1.15123,0.69856,0.72081,0.70473,0.36945,1.73634,1.20933,1.64681,0.000759318,0.000759318,0.000759318
57,359.964,1.0847,0.73628,1.13432,0.73913,0.74619,0.74545,0.38538,1.66229,1.14095,1.61628,0.000742815,0.000742815,0.000742815
58,372.267,1.11007,0.74639,1.16385,0.77105,0.76927,0.79183,0.40762,1.69892,1.10665,1.62869,0.000726312,0.000726312,0.000726312
59,384.349,1.06967,0.70885,1.13229,0.78058,0.74037,0.76346,0.40551,1.69063,1.13769,1.5722,0.000709809,0.000709809,0.000709809
60,396.259,1.04415,0.70202,1.12128,0.75679,0.72081,0.76489,0.39313,1.72901,1.14058,1.62542,0.000693305,0.000693305,0.000693305
61,408.24,1.07346,0.70832,1.13602,0.75524,0.81448,0.78684,0.42152,1.68712,1.06684,1.5818,0.000676802,0.000676802,0.000676802
62,420.158,1.07577,0.70972,1.14007,0.75429,0.78173,0.7757,0.39461,1.71765,1.1187,1.5922,0.000660299,0.000660299,0.000660299
63,432.254,1.08834,0.71446,1.14953,0.75459,0.81726,0.7812,0.40596,1.67517,1.0606,1.57135,0.000643795,0.000643795,0.000643795
64,443.823,1.0899,0.71808,1.15166,0.76443,0.7665,0.76086,0.38286,1.70815,1.10326,1.62841,0.000627292,0.000627292,0.000627292
65,455.763,1.05161,0.71895,1.13348,0.62706,0.7767,0.72337,0.36759,1.76204,1.22445,1.66976,0.000610789,0.000610789,0.000610789
